Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
248151.0,AA Batteries (4-pack),4.0,3.8399999141693115,2017-09-19 14:44:00,"380 North St, Los Angeles, CA 90001"
248152.0,USB-C Charging Cable,2.0,11.949999809265137,2029-09-19 10:19:00,"511 8th St, Austin, TX 73301"
248153.0,USB-C Charging Cable,1.0,11.949999809265137,2016-09-19 17:48:00,"151 Johnson St, Los Angeles, CA 90001"
248154.0,27in FHD Monitor,1.0,149.99000549316406,2027-09-19 07:52:00,"355 Hickory St, Seattle, WA 98101"
248155.0,USB-C Charging Cable,1.0,11.949999809265137,2001-09-19 19:03:00,"125 5th St, Atlanta, GA 30301"
248156.0,34in Ultrawide Monitor,1.0,379.989990234375,2013-09-19 14:59:00,"469 12th St, Los Angeles, CA 90001"
248157.0,Lightning Charging Cable,1.0,14.949999809265137,2007-09-19 09:59:00,"773 Johnson St, Portland, ME 04101"
248158.0,Lightning Charging Cable,1.0,14.949999809265137,2002-09-19 14:16:00,"682 Sunset St, Los Angeles, CA 90001"
248159.0,Vareebadd Phone,1.0,400.0,2006-09-19 16:45:00,"664 Wilson St, New York City, NY 10001"
248160.0,Wired Headphones,1.0,11.989999771118164,2001-09-19 22:03:00,"446 9th St, San Francisco, CA 94016"
248161.0,USB-C Charging Cable,1.0,11.949999809265137,2024-09-19 16:26:00,"439 Spruce St, San Francisco, CA 94016"
248162.0,AAA Batteries (4-pack),3.0,2.990000009536743,2014-09-19 12:52:00,"439 Walnut St, Seattle, WA 98101"
248163.0,USB-C Charging Cable,1.0,11.949999809265137,2025-09-19 12:32:00,"41 North St, Portland, OR 97035"
248164.0,27in FHD Monitor,1.0,149.99000549316406,2012-09-19 15:57:00,"88 9th St, San Francisco, CA 94016"
248165.0,Lightning Charging Cable,1.0,14.949999809265137,2015-09-19 12:42:00,"585 Adams St, Atlanta, GA 30301"
248166.0,Apple Airpods Headphones,1.0,150.0,2004-09-19 14:59:00,"21 9th St, Boston, MA 02215"
248167.0,Google Phone,1.0,600.0,2002-09-19 18:52:00,"711 Forest St, San Francisco, CA 94016"
248168.0,USB-C Charging Cable,1.0,11.949999809265137,2030-09-19 18:59:00,"219 Hickory St, San Francisco, CA 94016"
248169.0,20in Monitor,1.0,109.98999786376953,2024-09-19 19:40:00,"140 Ridge St, San Francisco, CA 94016"
248170.0,AAA Batteries (4-pack),1.0,2.990000009536743,2004-09-19 02:01:00,"857 Main St, Boston, MA 02215"
248171.0,USB-C Charging Cable,1.0,11.949999809265137,2005-09-19 15:06:00,"705 Hill St, New York City, NY 10001"
248171.0,USB-C Charging Cable,1.0,11.949999809265137,2005-09-19 15:06:00,"705 Hill St, New York City, NY 10001"
248172.0,Wired Headphones,1.0,11.989999771118164,2013-09-19 16:49:00,"820 Hill St, Boston, MA 02215"
248173.0,Apple Airpods Headphones,1.0,150.0,2014-09-19 20:47:00,"789 Lake St, Atlanta, GA 30301"
248174.0,Bose SoundSport Headphones,1.0,99.98999786376953,2017-09-19 22:57:00,"385 Washington St, Dallas, TX 75001"
248175.0,iPhone,1.0,700.0,2008-09-19 13:58:00,"736 4th St, Austin, TX 73301"
248176.0,AA Batteries (4-pack),2.0,3.8399999141693115,2012-09-19 13:18:00,"177 Sunset St, San Francisco, CA 94016"
248177.0,USB-C Charging Cable,1.0,11.949999809265137,2024-09-19 20:36:00,"452 Adams St, San Francisco, CA 94016"
248178.0,Apple Airpods Headphones,1.0,150.0,2003-09-19 21:52:00,"725 Jefferson St, Los Angeles, CA 90001"
248179.0,27in FHD Monitor,1.0,149.99000549316406,2013-09-19 15:06:00,"510 Hickory St, New York City, NY 10001"
248180.0,USB-C Charging Cable,1.0,11.949999809265137,2028-09-19 15:52:00,"99 Ridge St, New York City, NY 10001"
248181.0,Apple Airpods Headphones,1.0,150.0,2008-09-19 12:40:00,"81 Spruce St, New York City, NY 10001"
248182.0,Apple Airpods Headphones,1.0,150.0,2015-09-19 13:03:00,"950 West St, New York City, NY 10001"
248183.0,34in Ultrawide Monitor,1.0,379.989990234375,2018-09-19 17:47:00,"968 Ridge St, San Francisco, CA 94016"
248184.0,AA Batteries (4-pack),1.0,3.8399999141693115,2007-09-19 11:23:00,"948 Main St, New York City, NY 10001"
248185.0,34in Ultrawide Monitor,1.0,379.989990234375,2017-09-19 15:10:00,"967 Center St, New York City, NY 10001"
248186.0,USB-C Charging Cable,1.0,11.949999809265137,2005-09-19 13:53:00,"318 Cherry St, Seattle, WA 98101"
248187.0,AAA Batteries (4-pack),3.0,2.990000009536743,2007-09-19 23:31:00,"173 Elm St, Los Angeles, CA 90001"
248188.0,Apple Airpods Headphones,1.0,150.0,2008-09-19 22:17:00,"136 12th St, San Francisco, CA 94016"
248189.0,Google Phone,1.0,600.0,2014-09-19 12:45:00,"726 8th St, San Francisco, CA 94016"
248190.0,Bose SoundSport Headphones,1.0,99.98999786376953,2024-09-19 21:47:00,"350 Lincoln St, New York City, NY 10001"
248191.0,AAA Batteries (4-pack),1.0,2.990000009536743,2022-09-19 11:25:00,"446 2nd St, San Francisco, CA 94016"
