Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
236670.0,Wired Headphones,2.0,11.989999771118164,2031-08-19 22:21:00,"359 Spruce St, Seattle, WA 98101"
236671.0,Bose SoundSport Headphones,1.0,99.98999786376953,2015-08-19 15:11:00,"492 Ridge St, Dallas, TX 75001"
236672.0,iPhone,1.0,700.0,2006-08-19 14:40:00,"149 7th St, Portland, OR 97035"
236673.0,AA Batteries (4-pack),2.0,3.8399999141693115,2029-08-19 20:59:00,"631 2nd St, Los Angeles, CA 90001"
236674.0,AA Batteries (4-pack),2.0,3.8399999141693115,2015-08-19 19:53:00,"736 14th St, New York City, NY 10001"
236675.0,Wired Headphones,1.0,11.989999771118164,2002-08-19 23:54:00,"470 Hill St, San Francisco, CA 94016"
236676.0,34in Ultrawide Monitor,1.0,379.989990234375,2004-08-19 19:52:00,"470 Cherry St, Los Angeles, CA 90001"
236677.0,20in Monitor,1.0,109.98999786376953,2013-08-19 07:16:00,"918 6th St, San Francisco, CA 94016"
236678.0,Wired Headphones,1.0,11.989999771118164,2025-08-19 20:11:00,"58 9th St, San Francisco, CA 94016"
236679.0,Macbook Pro Laptop,1.0,1700.0,2007-08-19 15:43:00,"239 Spruce St, Los Angeles, CA 90001"
236680.0,LG Washing Machine,1.0,600.0,2009-08-19 19:38:00,"967 Willow St, San Francisco, CA 94016"
236681.0,AA Batteries (4-pack),1.0,3.8399999141693115,2026-08-19 20:52:00,"295 1st St, Boston, MA 02215"
236682.0,AA Batteries (4-pack),1.0,3.8399999141693115,2019-08-19 12:40:00,"118 Johnson St, Portland, OR 97035"
236683.0,27in FHD Monitor,1.0,149.99000549316406,2031-08-19 15:47:00,"196 West St, Dallas, TX 75001"
236684.0,Lightning Charging Cable,1.0,14.949999809265137,2009-08-19 16:50:00,"669 12th St, New York City, NY 10001"
236685.0,Apple Airpods Headphones,1.0,150.0,2023-08-19 19:29:00,"238 Highland St, Atlanta, GA 30301"
236686.0,AAA Batteries (4-pack),1.0,2.990000009536743,2015-08-19 19:13:00,"766 Maple St, Dallas, TX 75001"
236687.0,USB-C Charging Cable,1.0,11.949999809265137,2023-08-19 12:54:00,"668 Meadow St, New York City, NY 10001"
236688.0,34in Ultrawide Monitor,1.0,379.989990234375,2008-08-19 16:06:00,"821 7th St, Los Angeles, CA 90001"
236689.0,AAA Batteries (4-pack),1.0,2.990000009536743,2021-08-19 10:55:00,"13 Cedar St, San Francisco, CA 94016"
236690.0,AAA Batteries (4-pack),1.0,2.990000009536743,2008-08-19 12:00:00,"139 River St, San Francisco, CA 94016"
236691.0,USB-C Charging Cable,1.0,11.949999809265137,2023-08-19 07:34:00,"916 Meadow St, Boston, MA 02215"
236692.0,USB-C Charging Cable,1.0,11.949999809265137,2020-08-19 13:26:00,"567 Center St, San Francisco, CA 94016"
236693.0,27in 4K Gaming Monitor,1.0,389.989990234375,2012-08-19 21:57:00,"173 West St, Portland, OR 97035"
236694.0,Apple Airpods Headphones,1.0,150.0,2014-08-19 23:45:00,"854 Sunset St, New York City, NY 10001"
236695.0,Bose SoundSport Headphones,1.0,99.98999786376953,2004-08-19 19:06:00,"905 Pine St, San Francisco, CA 94016"
236696.0,Lightning Charging Cable,1.0,14.949999809265137,2021-08-19 00:48:00,"530 Church St, New York City, NY 10001"
